Tópico,Palavras,Pesos
30,"arruda, 000, ex, alexandre, us, bet365, software, mesarios, frota, roberto","[0.0276, 0.0256, 0.0234, 0.0208, 0.0206, 0.0197, 0.0195, 0.0194, 0.0189, 0.0189]"
31,"consorcio, antibrasil, prestarmos, desinforma, infiltra, leviata, menti, ardiloso, conquistarmos, desmascarado","[0.0525, 0.0328, 0.0314, 0.0314, 0.0314, 0.031, 0.031, 0.031, 0.031, 0.0306]"
32,"watch, fb, 22, cand, lulopetismo, bolsonaro, linha, 1x, lulapt, satanico","[0.0341, 0.034, 0.0294, 0.025, 0.0186, 0.0179, 0.0161, 0.0152, 0.0146, 0.0129]"
33,"familia, pais, deus, patria, aconteca, ilumine, queira, abencoe, misericordia, crianca","[0.0561, 0.0494, 0.0423, 0.0378, 0.0322, 0.0304, 0.0293, 0.028, 0.0191, 0.0186]"
34,"orar, vamos, deus, ajoelharmos, continuar, clamar, falarmos, fe, jejuar, mal","[0.1557, 0.053, 0.0336, 0.0248, 0.0234, 0.0232, 0.0208, 0.0192, 0.0169, 0.0163]"
35,"passo, luladrao, onda, sao, comunismo, esquerda, venezuela, ditadura, clicar, implantando","[0.0144, 0.0127, 0.0104, 0.0088, 0.0079, 0.0078, 0.0076, 0.0074, 0.0073, 0.0072]"
36,"fez, ferrovia, defendeu, deu, agua, br, diminuir, criou, combate, possibilitou","[0.0262, 0.0252, 0.0168, 0.0167, 0.0151, 0.015, 0.0143, 0.0143, 0.0142, 0.0138]"
37,"conservador, conservadores, conservadora, direita, valdemar, esquerda, judicializando, cansou, destruirem, filosofo","[0.0683, 0.0548, 0.0444, 0.0418, 0.0332, 0.0305, 0.0235, 0.0214, 0.0202, 0.0202]"
38,"instagram, www, facebbok, dunas, travado, pagina, deus, lentidao, jericoacoa, misericordia","[0.254, 0.1509, 0.0307, 0.0307, 0.0281, 0.028, 0.027, 0.0266, 0.0266, 0.0264]"
39,"g1, mc, jrmunews, ebc, lendo, cnn, anos, im, r7, chave","[0.032, 0.0276, 0.0241, 0.0235, 0.0178, 0.0171, 0.0155, 0.0126, 0.0125, 0.0096]"
40,"22, watch, fb, cand, bolsonaro, conservadora, 1x, lulopetismo, linha, dep","[0.0303, 0.0215, 0.0214, 0.02, 0.0198, 0.0125, 0.0122, 0.0108, 0.0108, 0.0097]"
41,"comunismo, raydson, comunistas, antagonico, institucionalizada, tf, antivida, sim, volta, dr","[0.0786, 0.0468, 0.0355, 0.0349, 0.0339, 0.0339, 0.0339, 0.0277, 0.0261, 0.0258]"
42,"user, canal, repost, preparem, olhem, intentou, vivo, afastou, curta, with","[0.09, 0.0453, 0.034, 0.0217, 0.021, 0.0198, 0.0193, 0.0189, 0.0173, 0.0166]"
43,"ignoreos, eco, divulgacao, propaganda, si, rede, antibrasileiros, quebre, funcionarao, trateos","[0.07, 0.0694, 0.0625, 0.0559, 0.0498, 0.0449, 0.044, 0.0427, 0.0411, 0.0411]"
44,"assista, facebook, video, luladrao, xango, pilintra, almas, ze, consagrado, universidade","[0.0829, 0.0616, 0.06, 0.0577, 0.0533, 0.0529, 0.0464, 0.0457, 0.0387, 0.0385]"
45,"obvio, bandidos, ruas, vc, esquerda, vamos, aceitar, ordenar, reduzindo, bem","[0.0131, 0.012, 0.0118, 0.0113, 0.0106, 0.0105, 0.0105, 0.0101, 0.0098, 0.0098]"
46,"entenderam, porque, esquerda, desgraca, instruida, iriamos, isentao, esquerdismo, matou, esquerdistas","[0.1441, 0.0774, 0.0436, 0.0362, 0.0235, 0.0234, 0.0231, 0.0215, 0.0208, 0.0196]"
47,"clama, anjos, permita, ti, implorar, escarnecem, faras, perfeita, acampa, pai","[0.0631, 0.0583, 0.058, 0.0453, 0.0382, 0.0381, 0.0381, 0.038, 0.0377, 0.0374]"
48,"brasil, deus, ricos, vire, competir, colombia, queren, assi, ai, paises","[0.0274, 0.0201, 0.0201, 0.02, 0.0192, 0.0184, 0.0172, 0.0172, 0.017, 0.0167]"
49,"moraes, urna, impedida, sistemica, barroso, comunicacao, alexandre, traficantes, ja, enviaram","[0.0211, 0.019, 0.0178, 0.0173, 0.0165, 0.0141, 0.0134, 0.0133, 0.013, 0.013]"
50,"estados, 69, 60, df, 71, 61, 67, 72, 80, 36","[0.0713, 0.0616, 0.0525, 0.0521, 0.051, 0.0484, 0.0415, 0.0379, 0.0328, 0.0324]"
51,"patriotas, acabou, bom, vamos, luta, fe, dia, vcs, abencoe, ainda","[0.118, 0.0482, 0.0453, 0.0433, 0.0344, 0.0274, 0.0259, 0.0257, 0.0244, 0.0237]"
52,"voces, entender, digerir, estabilizaram, colheram, avancamos, comparem, adiada, resilientes, derrotismo","[0.0533, 0.0417, 0.0348, 0.0348, 0.0348, 0.0346, 0.0346, 0.0346, 0.0343, 0.0343]"
53,"video, iguera, portalcidade, impressiona, wesley, veja, bateu, terrabrasilnoticias, like, psb","[0.104, 0.0775, 0.0703, 0.0625, 0.0589, 0.0586, 0.0574, 0.0547, 0.0542, 0.0513]"
54,"inocente, carregas, fostes, traido, falar, achar, culpa, jair, ama, vergonha","[0.0646, 0.0582, 0.0568, 0.0564, 0.0505, 0.0502, 0.0499, 0.0398, 0.0318, 0.0302]"
55,"subindo, carros, passagem, pq, manifestacao, intervencao, lider, repassem, possivel, ficar","[0.0356, 0.0344, 0.0331, 0.0287, 0.0283, 0.0283, 0.0252, 0.0242, 0.0241, 0.0228]"
56,"acima, tudo, todos, brasil, deus, vamos, venceremos, capitao, cima, exterminada","[0.1727, 0.0668, 0.0549, 0.0445, 0.0413, 0.0252, 0.023, 0.0216, 0.0206, 0.0203]"
57,"venezuela, argentina, eleger, atestado, problema, condenado, cuba, potencias, nicaragua, terminam","[0.0222, 0.0157, 0.0157, 0.0141, 0.0138, 0.0136, 0.0132, 0.0129, 0.0128, 0.0128]"
58,"arruda, 000, us, turno, bet365, exdeputado, software, mesarios, roberto, frota","[0.0289, 0.0263, 0.0213, 0.0208, 0.0207, 0.0205, 0.0204, 0.0203, 0.0199, 0.0198]"
59,"passo, cor, onda, comunismo, terras, mst, invasao, participam, treinados, maduro","[0.032, 0.0233, 0.0201, 0.02, 0.0198, 0.0188, 0.0167, 0.0154, 0.0148, 0.0147]"
60,"nunes, deixala, 673, hostilio, chirley, itapuca, gesso, proprietaria, resende, patricia","[0.3573, 0.2742, 0.2686, 0.2686, 0.2686, 0.2686, 0.2677, 0.2617, 0.2489, 0.2476]"
61,"leis, lei, legislativo, golpe, patriotas, armadas, republica, propagar, forcas, movimentos","[0.0202, 0.0164, 0.0149, 0.0145, 0.0134, 0.0133, 0.0127, 0.0126, 0.0125, 0.0124]"
62,"podeis, chorar, vosso, tao, enxugai, sorria, protegeu, coragem, amamos, lagrimas","[0.0796, 0.0744, 0.0462, 0.0315, 0.0308, 0.0306, 0.0304, 0.0297, 0.0277, 0.0262]"
63,"patria, liberdade, familia, deus, mobilizar, crescendo, fiscais, cadastro, tomando, bem","[0.1322, 0.1263, 0.102, 0.0402, 0.0306, 0.0275, 0.0275, 0.0261, 0.0234, 0.0228]"
64,"minuto, canecas, 28792375000150, minutocomdeus, adquira, apps, net, edvaldo, link, apple","[0.277, 0.0988, 0.0988, 0.0988, 0.0984, 0.0931, 0.0916, 0.0911, 0.0878, 0.0876]"
65,"envie, protecao, oracao, transmita, fortalecendo, feriram, esperancoso, governando, iniquidades, eliminar","[0.0896, 0.0708, 0.067, 0.0644, 0.0615, 0.0592, 0.0584, 0.0582, 0.0574, 0.0561]"
66,"podcast, simultaneos, milhao, flow, entrevista, ltda, encaminhe, dobro, horas, sininho","[0.1115, 0.0626, 0.0608, 0.0597, 0.0516, 0.0463, 0.0458, 0.045, 0.0445, 0.0441]"
67,"1deg, decidira, elegemos, turno, disputa, eleicao, maiores, elegeremos, propagadas, desmoralizados","[0.0635, 0.0538, 0.0513, 0.0426, 0.0418, 0.036, 0.036, 0.0316, 0.0316, 0.0315]"
68,"israel, moises, estatutos, judeus, senhor, juizos, vara, 119, terra, homem","[0.0429, 0.021, 0.0196, 0.019, 0.0186, 0.0152, 0.0152, 0.0125, 0.0119, 0.0118]"
69,"misericordia, amargura, nada, tristeza, triste, comer, deus, arrepiar, gente, pra","[0.126, 0.0612, 0.033, 0.0325, 0.0317, 0.0274, 0.026, 0.0253, 0.0244, 0.0237]"
70,"compartilhamento, ignoreos, eco, divulgacao, facam, redes, repassem, si, charge, ocultandoos","[0.0516, 0.0462, 0.0458, 0.0413, 0.0402, 0.0352, 0.0349, 0.0329, 0.0316, 0.0316]"
71,"vigilia, importa, vosso, ceus, deixeis, perdoamos, perdoai, santificado, livrainos, ofendido","[0.1059, 0.1, 0.0915, 0.0872, 0.0705, 0.0698, 0.0695, 0.0694, 0.0689, 0.0678]"
72,"intervencao, convocacao, clicar, pedirmos, louvado, mantendo, ouvir, quarteis, link, falada","[0.0964, 0.0814, 0.0775, 0.0774, 0.0747, 0.0727, 0.0716, 0.0625, 0.0566, 0.0545]"
73,"elegemos, 1deg, turno, decidira, disputa, maiores, eleicao, maior, bancadas, vamos","[0.0344, 0.0325, 0.0291, 0.0275, 0.0214, 0.0213, 0.0192, 0.0191, 0.0186, 0.0184]"
74,"senador, governador, 222, deputado, dep, pl, estadual, coronel, 2210, 22","[0.0917, 0.0899, 0.0618, 0.0371, 0.0311, 0.0282, 0.0273, 0.0251, 0.0242, 0.0198]"
75,"vivi, pessoalmente, empossado, agradecer, faccao, pcc, chefe, ir, ver, crime","[0.2884, 0.2806, 0.2599, 0.2402, 0.2367, 0.2292, 0.1433, 0.1296, 0.1152, 0.1068]"
